Year,State,State_Code,Deaths,Pop,Crude_Rate
2012,Nebraska,31,167,1855525,9
2012,Nevada,32,360,2758931,13
2012,New Hampshire,33,117,1320718,8.9
2012,New Jersey,34,444,8864590,5
2012,New Mexico,35,323,2085538,15.5
2012,New York,36,977,19570261,5
2012,North Carolina,37,1175,9752073,12
2012,North Dakota,38,73,699628,10.4
2012,Ohio,39,1263,11544225,10.9
2012,Oklahoma,40,619,3814820,16.2
2012,Oregon,41,443,3899353,11.4
2012,Pennsylvania,42,1453,12763536,11.4
2012,Rhode Island,44,42,1050292,4
2012,South Carolina,45,743,4723723,15.7
2012,South Dakota,46,84,833354,10.1
2012,Tennessee,47,995,6456243,15.4
2012,Texas,48,2743,26059203,10.5
2012,Utah,49,324,2855287,11.3
2012,Vermont,50,56,626011,8.9
2012,Virginia,51,840,8185867,10.3
2012,Washington,53,681,6897012,9.9
2012,West Virginia,54,278,1855413,15
2012,Wisconsin,55,483,5726398,8.4
2012,Wyoming,56,117,576412,20.3
2013,Alabama,01,860,4833722,17.8
2013,Alaska,02,144,735132,19.6
2013,Arizona,04,941,6626624,14.2
2013,Arkansas,05,501,2959373,16.9
2013,California,06,3026,38332521,7.9
2013,Colorado,08,619,5268367,11.7
2013,Connecticut,09,161,3596080,4.5
2013,Delaware,10,100,925749,10.8
2013,District of Columbia,11,71,646449,11
2013,Florida,12,2442,19552860,12.5
2013,Georgia,13,1262,9992167,12.6
2013,Hawaii,15,38,1404054,2.7
2013,Idaho,16,227,1612136,14.1
2013,Illinois,17,1117,12882135,8.7
2013,Indiana,18,857,6570902,13
2013,Iowa,19,253,3090416,8.2
2013,Kansas,20,331,2893957,11.4
2013,Kentucky,21,622,4395295,14.2
2013,Louisiana,22,886,4625470,19.2
2013,Maine,23,158,1328302,11.9
2013,Maryland,24,578,5928814,9.7
2013,Massachusetts,25,213,6692824,3.2
2013,Michigan,26,1190,9895622,12
2013,Minnesota,27,427,5420380,7.9
2013,Mississippi,28,525,2991207,17.6
2013,Missouri,29,880,6044171,14.6
2013,Montana,30,172,1015165,16.9
2013,Nebraska,31,168,1868516,9
2013,Nevada,32,395,2790136,14.2
2013,New Hampshire,33,93,1323459,7
2013,New Jersey,34,506,8899339,5.7
2013,New Mexico,35,326,2085287,15.6
2013,New York,36,863,19651127,4.4
2013,North Carolina,37,1223,9848060,12.4
2013,North Dakota,38,86,723393,11.9
2013,Ohio,39,1289,11570808,11.1
2013,Oklahoma,40,632,3850568,16.4
2013,Oregon,41,462,3930065,11.8
2013,Pennsylvania,42,1451,12773801,11.4
2013,Rhode Island,44,56,1051511,5.3
2013,South Carolina,45,745,4774839,15.6
2013,South Dakota,46,80,844877,9.5
2013,Tennessee,47,1030,6495978,15.9
2013,Texas,48,2778,26448193,10.5
2013,Utah,49,339,2900872,11.7
2013,Vermont,50,65,626630,10.4
2013,Virginia,51,864,8260405,10.5
2013,Washington,53,632,6971406,9.1
2013,West Virginia,54,280,1854304,15.1
2013,Wisconsin,55,570,5742713,9.9
2013,Wyoming,56,102,582658,17.5
2014,Alabama,01,815,4849377,16.8
2014,Alaska,02,145,736732,19.7
2014,Arizona,04,927,6731484,13.8
2014,Arkansas,05,496,2966369,16.7
2014,California,06,2942,38802500,7.6
2014,Colorado,08,663,5355866,12.4
2014,Connecticut,09,187,3596677,5.2
2014,Delaware,10,102,935614,10.9
2014,District of Columbia,11,86,658893,13.1
2014,Florida,12,2410,19893297,12.1
2014,Georgia,13,1391,10097343,13.8
2014,Hawaii,15,40,1419561,2.8
2014,Idaho,16,213,1634464,13
2014,Illinois,17,1179,12880580,9.2
2014,Indiana,18,818,6596855,12.4
2014,Iowa,19,241,3107126,7.8
2014,Kansas,20,329,2904021,11.3
2014,Kentucky,21,634,4413457,14.4
2014,Louisiana,22,896,4649676,19.3
2014,Maine,23,133,1330089,10
2014,Maryland,24,546,5976407,9.1
2014,Massachusetts,25,226,6745408,3.4
2014,Michigan,26,1095,9909877,11
2014,Minnesota,27,377,5457173,6.9
2014,Mississippi,28,547,2994079,18.3
2014,Missouri,29,943,6063589,15.6
2014,Montana,30,172,1023579,16.8
2014,Nebraska,31,179,1881503,9.5
2014,Nevada,32,429,2839099,15.1
2014,New Hampshire,33,122,1326813,9.2
2014,New Jersey,34,468,8938175,5.2
2014,New Mexico,35,340,2085572,16.3
2014,New York,36,875,19746227,4.4
2014,North Carolina,37,1206,9943964,12.1
2014,North Dakota,38,96,739482,13
2014,Ohio,39,1211,11594163,10.4
2014,Oklahoma,40,611,3878051,15.8
2014,Oregon,41,497,3970239,12.5
2014,Pennsylvania,42,1390,12787209,10.9
2014,Rhode Island,44,34,1055173,3.2
2014,South Carolina,45,767,4832482,15.9
2014,South Dakota,46,89,853175,10.4
2014,Tennessee,47,1016,6549352,15.5
2014,Texas,48,2848,26956958,10.6
2014,Utah,49,337,2942902,11.5
2014,Vermont,50,69,626562,11
2014,Virginia,51,889,8326289,10.7
2014,Washington,53,702,7061530,9.9
2014,West Virginia,54,286,1850326,15.5
2014,Wisconsin,55,487,5757564,8.5
2014,Wyoming,56,93,584153,15.9
2015,Alabama,01,958,4858979,19.7
2015,Alaska,02,177,738432,24
2015,Arizona,04,970,6828065,14.2
2015,Arkansas,05,520,2978204,17.5
2015,California,06,3095,39144818,7.9
2015,Colorado,08,701,5456574,12.8
2015,Connecticut,09,189,3590886,5.3
2015,Delaware,10,112,945934,11.8
2015,District of Columbia,11,120,672228,17.9
2015,Florida,12,2559,20271272,12.6
2015,Georgia,13,1448,10214860,14.2
2015,Hawaii,15,55,1431603,3.8
2015,Idaho,16,247,1654930,14.9
2015,Illinois,17,1220,12859995,9.5
2015,Indiana,18,846,6619680,12.8
2015,Iowa,19,247,3123899,7.9
2015,Kansas,20,330,2911641,11.3
2015,Kentucky,21,694,4425092,15.7
2015,Louisiana,22,952,4670724,20.4
2015,Maine,23,144,1329328,10.8
2015,Maryland,24,708,6006401,11.8
2015,Massachusetts,25,213,6794422,3.1
2015,Michigan,26,1164,9922576,11.7
2015,Minnesota,27,410,5489594,7.5
2015,Mississippi,28,589,2992333,19.7
2015,Missouri,29,1094,6083672,18
2015,Montana,30,205,1032949,19.8
2015,Nebraska,31,169,1896190,8.9
2015,Nevada,32,446,2890845,15.4
2015,New Hampshire,33,121,1330608,9.1
2015,New Jersey,34,475,8958013,5.3
2015,New Mexico,35,390,2085109,18.7
2015,New York,36,849,19795791,4.3
2015,North Carolina,37,1289,10042802,12.8
2015,North Dakota,38,92,756927,12.2
2015,Ohio,39,1397,11613423,12
2015,Oklahoma,40,706,3911338,18.1
2015,Oregon,41,486,4028977,12.1
2015,Pennsylvania,42,1485,12802503,11.6
2015,Rhode Island,44,51,1056298,4.8
2015,South Carolina,45,850,4896146,17.4
2015,South Dakota,46,96,858469,11.2
2015,Tennessee,47,1075,6600299,16.3
2015,Texas,48,3203,27469114,11.7
2015,Utah,49,367,2995919,12.2
2015,Vermont,50,70,626042,11.2
2015,Virginia,51,946,8382993,11.3
2015,Washington,53,718,7170351,10
2015,West Virginia,54,278,1844128,15.1
2015,Wisconsin,55,613,5771337,10.6
2015,Wyoming,56,113,586107,19.3
2016,Alabama,01,1046,4863300,21.5
2016,Alaska,02,177,741894,23.9
2016,Arizona,04,1094,6931071,15.8
2016,Arkansas,05,541,2988248,18.1
2016,California,06,3184,39250017,8.1
2016,Colorado,08,812,5540545,14.7
2016,Connecticut,09,172,3576452,4.8
2016,Delaware,10,111,952065,11.7
2016,District of Columbia,11,107,681170,15.7
2016,Florida,12,2704,20612439,13.1
2016,Georgia,13,1571,10310371,15.2
2016,Hawaii,15,66,1428557,4.6
2016,Idaho,16,242,1683140,14.4
2016,Illinois,17,1490,12801539,11.6
2016,Indiana,18,997,6633053,15
2016,Iowa,19,288,3134693,9.2
2016,Kansas,20,383,2907289,13.2
2016,Kentucky,21,772,4436974,17.4
2016,Louisiana,22,987,4681666,21.1
2016,Maine,23,123,1331479,9.2
2016,Maryland,24,707,6016447,11.8
2016,Massachusetts,25,242,6811779,3.6
2016,Michigan,26,1230,9928300,12.4
2016,Minnesota,27,432,5519952,7.8
2016,Mississippi,28,587,2988726,19.6
2016,Missouri,29,1144,6093e3,18.8
2016,Montana,30,194,1042520,18.6
2016,Nebraska,31,171,1907116,9
2016,Nevada,32,498,2940058,16.9
2016,New Hampshire,33,132,1334795,9.9
2016,New Jersey,34,485,8944469,5.4
2016,New Mexico,35,383,2081015,18.4
2016,New York,36,900,19745289,4.6
2016,North Carolina,37,1409,10146788,13.9
2016,North Dakota,38,90,757952,11.9
2016,Ohio,39,1524,11614373,13.1
2016,Oklahoma,40,766,3923561,19.5
2016,Oregon,41,513,4093465,12.5
2016,Pennsylvania,42,1555,12784227,12.2
2016,Rhode Island,44,49,1056426,4.6
2016,South Carolina,45,891,4961119,18
2016,South Dakota,46,108,865454,12.5
2016,Tennessee,47,1148,6651194,17.3
2016,Texas,48,3353,27862596,12
2016,Utah,49,370,3051217,12.1
2016,Vermont,50,78,624594,12.5
2016,Virginia,51,1049,8411808,12.5
2016,Washington,53,686,7288e3,9.4
2016,West Virginia,54,332,1831102,18.1
2016,Wisconsin,55,664,5778708,11.5
2016,Wyoming,56,101,585501,17.3
